id,commit_ID,project,func_before,func_after,diff_lines,vul
4885,2f489a41ebd06eb14197f8a66afae86ac1397f42,ProjectKB,"public class main {
public void invoke(RealmResource realm, AtomicReference<Response> response) {
response.set(realm.flows().copy(""nosuch"", Collections.<String, String>emptyMap()));
}
}","public class main {
public void invoke(RealmResource realm, AtomicReference<Response> response) {
response.set(realm.testLDAPConnection(""nosuch"", ""nosuch"", ""nosuch"", ""nosuch"", ""nosuch"", ""nosuch""));
}
}","- response.set(realm.flows().copy(""nosuch"", Collections.<String, String>emptyMap()));+ response.set(realm.testLDAPConnection(""nosuch"", ""nosuch"", ""nosuch"", ""nosuch"", ""nosuch"", ""nosuch""));",1
18468,23655fe0c15189ca41a6e99c31a3c38001a7cdb0,ProjectKB,"public class main {
public void process(Exchange exchange) throws Exception {
String body = exchange.getIn().getBody(String.class);
assertNotNull(body);
assertEquals(""Hello World"", body);
MyCoolBean reply = new MyCoolBean(456, ""Camel rocks"");
exchange.getOut().setBody(reply);
exchange.getOut().setHeader(Exchange.CONTENT_TYPE, AhcConstants.CONTENT_TYPE_JAVA_SERIALIZED_OBJECT);
}
}","public class main {
public void process(Exchange exchange) throws Exception {
MyCoolBean cool = exchange.getIn().getBody(MyCoolBean.class);
assertNotNull(cool);
assertEquals(123, cool.getId());
assertEquals(""Camel"", cool.getName());
exchange.getOut().setHeader(Exchange.CONTENT_TYPE, ""text/plain"");
exchange.getOut().setBody(""OK"");
}
}","- String body = exchange.getIn().getBody(String.class);+ MyCoolBean cool = exchange.getIn().getBody(MyCoolBean.class);- assertNotNull(body);+ assertNotNull(cool);- assertEquals(""Hello World"", body);- MyCoolBean reply = new MyCoolBean(456, ""Camel rocks"");+ assertEquals(123, cool.getId());+ assertEquals(""Camel"", cool.getName());+ exchange.getOut().setHeader(Exchange.CONTENT_TYPE, ""text/plain"");- exchange.getOut().setBody(reply);+ exchange.getOut().setBody(""OK"");- exchange.getOut().setHeader(Exchange.CONTENT_TYPE, AhcConstants.CONTENT_TYPE_JAVA_SERIALIZED_OBJECT);",1
5373,0e28bee0f155b9bf240b4bafc4646e4810cb23f,ProjectKB,"public class main {
protected Mono<Resource> getResource(ServerWebExchange exchange) {
String name = HandlerMapping.PATH_WITHIN_HANDLER_MAPPING_ATTRIBUTE;
PathContainer pathWithinHandler = exchange.getRequiredAttribute(name);
String path = processPath(pathWithinHandler.value());
if (!StringUtils.hasText(path) || isInvalidPath(path)) {
if (logger.isTraceEnabled()) {
logger.trace(""Ignoring invalid resource path ["" + path + ""]"");
}
return Mono.empty();
}
if (path.contains(""%"")) {
try {
if (isInvalidPath(URLDecoder.decode(path, ""UTF-8""))) {
if (logger.isTraceEnabled()) {
logger.trace(""Ignoring invalid resource path with escape sequences ["" + path + ""]."");
}
return Mono.empty();
}
}
catch (IllegalArgumentException ex) {
}
catch (UnsupportedEncodingException ex) {
return Mono.error(Exceptions.propagate(ex));
}
}
ResourceResolverChain resolveChain = createResolverChain();
return resolveChain.resolveResource(exchange, path, getLocations())
.flatMap(resource -> {
ResourceTransformerChain transformerChain = createTransformerChain(resolveChain);
return transformerChain.transform(exchange, resource);
});
}
}","public class main {
protected Mono<Resource> getResource(ServerWebExchange exchange) {
String name = HandlerMapping.PATH_WITHIN_HANDLER_MAPPING_ATTRIBUTE;
PathContainer pathWithinHandler = exchange.getRequiredAttribute(name);
String path = processPath(pathWithinHandler.value());
if (!StringUtils.hasText(path) || isInvalidPath(path)) {
if (logger.isTraceEnabled()) {
logger.trace(""Ignoring invalid resource path ["" + path + ""]"");
}
return Mono.empty();
}
if (path.contains(""%"")) {
try {
String decodedPath = URLDecoder.decode(path, ""UTF-8"");
if (isInvalidPath(decodedPath)) {
if (logger.isTraceEnabled()) {
logger.trace(""Ignoring invalid resource path with escape sequences ["" + path + ""]."");
}
return Mono.empty();
}
decodedPath = processPath(decodedPath);
if (isInvalidPath(decodedPath)) {
if (logger.isTraceEnabled()) {
logger.trace(""Ignoring invalid resource path with escape sequences ["" + path + ""]."");
}
return Mono.empty();
}
}
catch (IllegalArgumentException ex) {
}
catch (UnsupportedEncodingException ex) {
return Mono.error(Exceptions.propagate(ex));
}
}
ResourceResolverChain resolveChain = createResolverChain();
return resolveChain.resolveResource(exchange, path, getLocations())
.flatMap(resource -> {
ResourceTransformerChain transformerChain = createTransformerChain(resolveChain);
return transformerChain.transform(exchange, resource);
});
}
}","- if (isInvalidPath(URLDecoder.decode(path, ""UTF-8""))) {+ String decodedPath = URLDecoder.decode(path, ""UTF-8"");+ if (isInvalidPath(decodedPath)) {+ if (logger.isTraceEnabled()) {+ logger.trace(""Ignoring invalid resource path with escape sequences ["" + path + ""]."");+ }+ return Mono.empty();+ }+ decodedPath = processPath(decodedPath);+ if (isInvalidPath(decodedPath)) {",1
4974,2f489a41ebd06eb14197f8a66afae86ac1397f42,ProjectKB,"public class main {
public void invoke(RealmResource realm) {
clients.get(AdminRoles.QUERY_CLIENTS).realm(REALM_NAME).users().search(""test"");
}
}","public class main {
public void invoke(RealmResource realm) {
clients.get(""master-admin"").realms().create(RealmBuilder.create().name(""master"").build());
}
}","- clients.get(AdminRoles.QUERY_CLIENTS).realm(REALM_NAME).users().search(""test"");+ clients.get(""master-admin"").realms().create(RealmBuilder.create().name(""master"").build());",1
1038,f7f0b18f6924fe0b01f32a25ed1e38e29b1bf8e5,ProjectKB,"public class main {
protected void service(final HttpServletRequest request, final HttpServletResponse response) throws ServletException, IOException {
log.trace(""Service: {}"", request);
HttpConsumer consumer = getServletResolveConsumerStrategy().resolve(request, getConsumers());
if (consumer == null) {
response.sendError(HttpServletResponse.SC_NOT_FOUND);
return;
}
if (consumer.getEndpoint().getHttpMethodRestrict() != null) {
Iterator it = ObjectHelper.createIterable(consumer.getEndpoint().getHttpMethodRestrict()).iterator();
boolean match = false;
while (it.hasNext()) {
String method = it.next().toString();
if (method.equalsIgnoreCase(request.getMethod())) {
match = true;
break;
}
}
if (!match) {
response.sendError(HttpServletResponse.SC_METHOD_NOT_ALLOWED);
return;
}
}
if (""TRACE"".equals(request.getMethod()) && !consumer.isTraceEnabled()) {
response.sendError(HttpServletResponse.SC_METHOD_NOT_ALLOWED);
return;
}
final Exchange result = (Exchange) request.getAttribute(EXCHANGE_ATTRIBUTE_NAME);
if (result == null) {
final Continuation continuation = ContinuationSupport.getContinuation(request);
if (continuation.isInitial() && continuationTimeout != null) {
continuation.setTimeout(continuationTimeout);
}
if (consumer.isSuspended() && continuation.isInitial()) {
response.sendError(HttpServletResponse.SC_SERVICE_UNAVAILABLE);
return;
}
if (continuation.isExpired()) {
String id = (String) continuation.getAttribute(EXCHANGE_ATTRIBUTE_ID);
expiredExchanges.put(id, id);
log.warn(""Continuation expired of exchangeId: {}"", id);
response.sendError(HttpServletResponse.SC_SERVICE_UNAVAILABLE);
return;
}
final Exchange exchange = new DefaultExchange(consumer.getEndpoint(), ExchangePattern.InOut);
if (consumer.getEndpoint().isBridgeEndpoint()) {
exchange.setProperty(Exchange.SKIP_GZIP_ENCODING, Boolean.TRUE);
exchange.setProperty(Exchange.SKIP_WWW_FORM_URLENCODED, Boolean.TRUE);
}
if (consumer.getEndpoint().isDisableStreamCache()) {
exchange.setProperty(Exchange.DISABLE_HTTP_STREAM_CACHE, Boolean.TRUE);
}
HttpHelper.setCharsetFromContentType(request.getContentType(), exchange);
exchange.setIn(new HttpMessage(exchange, request, response));
String contextPath = consumer.getEndpoint().getPath();
exchange.getIn().setHeader(""CamelServletContextPath"", contextPath);
String httpPath = (String)exchange.getIn().getHeader(Exchange.HTTP_PATH);
if (contextPath != null
&& httpPath.startsWith(contextPath)) {
exchange.getIn().setHeader(Exchange.HTTP_PATH,
httpPath.substring(contextPath.length()));
}
if (log.isTraceEnabled()) {
log.trace(""Suspending continuation of exchangeId: {}"", exchange.getExchangeId());
}
continuation.setAttribute(EXCHANGE_ATTRIBUTE_ID, exchange.getExchangeId());
try {
consumer.createUoW(exchange);
} catch (Exception e) {
log.error(""Error processing request"", e);
throw new ServletException(e);
}
continuation.suspend();
ClassLoader oldTccl = overrideTccl(exchange);
if (log.isTraceEnabled()) {
log.trace(""Processing request for exchangeId: {}"", exchange.getExchangeId());
}
consumer.getAsyncProcessor().process(exchange, new AsyncCallback() {
public void done(boolean doneSync) {
boolean expired = expiredExchanges.remove(exchange.getExchangeId()) != null;
if (!expired) {
if (log.isTraceEnabled()) {
log.trace(""Resuming continuation of exchangeId: {}"", exchange.getExchangeId());
}
continuation.setAttribute(EXCHANGE_ATTRIBUTE_NAME, exchange);
continuation.resume();
} else {
log.warn(""Cannot resume expired continuation of exchangeId: {}"", exchange.getExchangeId());
}
}
});
if (oldTccl != null) {
restoreTccl(exchange, oldTccl);
}
return;
}
try {
if (log.isTraceEnabled()) {
log.trace(""Resumed continuation and writing response for exchangeId: {}
}","public class main {
protected void service(final HttpServletRequest request, final HttpServletResponse response) throws ServletException, IOException {
log.trace(""Service: {}"", request);
HttpConsumer consumer = getServletResolveConsumerStrategy().resolve(request, getConsumers());
if (consumer == null) {
response.sendError(HttpServletResponse.SC_NOT_FOUND);
return;
}
if (consumer.getEndpoint().getHttpMethodRestrict() != null) {
Iterator it = ObjectHelper.createIterable(consumer.getEndpoint().getHttpMethodRestrict()).iterator();
boolean match = false;
while (it.hasNext()) {
String method = it.next().toString();
if (method.equalsIgnoreCase(request.getMethod())) {
match = true;
break;
}
}
if (!match) {
response.sendError(HttpServletResponse.SC_METHOD_NOT_ALLOWED);
return;
}
}
if (""TRACE"".equals(request.getMethod()) && !consumer.isTraceEnabled()) {
response.sendError(HttpServletResponse.SC_METHOD_NOT_ALLOWED);
return;
}
String contentType = request.getContentType();
if (HttpConstants.CONTENT_TYPE_JAVA_SERIALIZED_OBJECT.equals(contentType) && !consumer.getEndpoint().getComponent().isAllowJavaSerializedObject()) {
System.out.println(""415 miser !!!"");
response.sendError(HttpServletResponse.SC_UNSUPPORTED_MEDIA_TYPE);
return;
}
final Exchange result = (Exchange) request.getAttribute(EXCHANGE_ATTRIBUTE_NAME);
if (result == null) {
final Continuation continuation = ContinuationSupport.getContinuation(request);
if (continuation.isInitial() && continuationTimeout != null) {
continuation.setTimeout(continuationTimeout);
}
if (consumer.isSuspended() && continuation.isInitial()) {
response.sendError(HttpServletResponse.SC_SERVICE_UNAVAILABLE);
return;
}
if (continuation.isExpired()) {
String id = (String) continuation.getAttribute(EXCHANGE_ATTRIBUTE_ID);
expiredExchanges.put(id, id);
log.warn(""Continuation expired of exchangeId: {}"", id);
response.sendError(HttpServletResponse.SC_SERVICE_UNAVAILABLE);
return;
}
final Exchange exchange = new DefaultExchange(consumer.getEndpoint(), ExchangePattern.InOut);
if (consumer.getEndpoint().isBridgeEndpoint()) {
exchange.setProperty(Exchange.SKIP_GZIP_ENCODING, Boolean.TRUE);
exchange.setProperty(Exchange.SKIP_WWW_FORM_URLENCODED, Boolean.TRUE);
}
if (consumer.getEndpoint().isDisableStreamCache()) {
exchange.setProperty(Exchange.DISABLE_HTTP_STREAM_CACHE, Boolean.TRUE);
}
HttpHelper.setCharsetFromContentType(request.getContentType(), exchange);
exchange.setIn(new HttpMessage(exchange, request, response));
String contextPath = consumer.getEndpoint().getPath();
exchange.getIn().setHeader(""CamelServletContextPath"", contextPath);
String httpPath = (String)exchange.getIn().getHeader(Exchange.HTTP_PATH);
if (contextPath != null
&& httpPath.startsWith(contextPath)) {
exchange.getIn().setHeader(Exchange.HTTP_PATH,
httpPath.substring(contextPath.length()));
}
if (log.isTraceEnabled()) {
log.trace(""Suspending continuation of exchangeId: {}"", exchange.getExchangeId());
}
continuation.setAttribute(EXCHANGE_ATTRIBUTE_ID, exchange.getExchangeId());
try {
consumer.createUoW(exchange);
} catch (Exception e) {
log.error(""Error processing request"", e);
throw new ServletException(e);
}
continuation.suspend();
ClassLoader oldTccl = overrideTccl(exchange);
if (log.isTraceEnabled()) {
log.trace(""Processing request for exchangeId: {}"", exchange.getExchangeId());
}
consumer.getAsyncProcessor().process(exchange, new AsyncCallback() {
public void done(boolean doneSync) {
boolean expired = expiredExchanges.remove(exchange.getExchangeId()) != null;
if (!expired) {
if (log.isTraceEnabled()) {
log.trace(""Resuming continuation of exchangeId: {}"", exchange.getExchangeId());
}
continuation.setAttribute(EXCHANGE_ATTRIBUTE_NAME, exchange);
continuation.resume();
} else {
log.warn(""Cannot resume expired continuation of exchangeId: {}"", exchange.getExchangeId());
}
}
});
if (oldTccl != null) {
restoreTccl(exchange, oldTccl);
}
return;
}
try {
if (log.isTraceEnabled()) {
log.trace(""Resumed continuation and writing response for exchangeId: {}
}","+ return;+ }+ String contentType = request.getContentType();+ if (HttpConstants.CONTENT_TYPE_JAVA_SERIALIZED_OBJECT.equals(contentType) && !consumer.getEndpoint().getComponent().isAllowJavaSerializedObject()) {+ System.out.println(""415 miser !!!"");+ response.sendError(HttpServletResponse.SC_UNSUPPORTED_MEDIA_TYPE);",1
19503,c3ad22234ef84d06d04d908b3c94c0d11df8afd,ProjectKB,"public class main {
public void testEncryptHeader() throws Exception {
ENCRYPT.EncryptHeader hdr=new ENCRYPT.EncryptHeader((short)1, null);
_testSize(hdr);
hdr=new ENCRYPT.EncryptHeader((short)2, ""Hello world"");
_testSize(hdr);
}
}","public class main {
public void testEncryptHeader() throws Exception {
ENCRYPT.EncryptHeader hdr=new ENCRYPT.EncryptHeader((short)1, null);
_testSize(hdr);
hdr=new ENCRYPT.EncryptHeader((short)2, ""Hello world"");
_testSize(hdr);
EncryptHeader hdr2=new EncryptHeader((byte)1, new byte[]{'b','e', 'l', 'a'});
_testSize(hdr2);
hdr2=new EncryptHeader((byte)2, ""Hello world"".getBytes());
_testSize(hdr2);
}
}","+ EncryptHeader hdr2=new EncryptHeader((byte)1, new byte[]{'b','e', 'l', 'a'});+ _testSize(hdr2);+ hdr2=new EncryptHeader((byte)2, ""Hello world"".getBytes());+ _testSize(hdr2);",1
6685,a6bf3e421d3d37a797e3bb374fcd20a00189feb,ProjectKB,"public class main {
public synchronized void syncBlobs() {
try {
LOG.debug(""Sync blobs - blobstore keys {}, zookeeper keys {}"",getBlobStoreKeySet(), getZookeeperKeySet());
zkClient = BlobStoreUtils.createZKClient(conf);
deleteKeySetFromBlobStoreNotOnZookeeper(getBlobStoreKeySet(), getZookeeperKeySet());
updateKeySetForBlobStore(getBlobStoreKeySet());
Set<String> keySetToDownload = getKeySetToDownload(getBlobStoreKeySet(), getZookeeperKeySet());
LOG.debug(""Key set Blobstore-> Zookeeper-> DownloadSet {}-> {}-> {}"", getBlobStoreKeySet(), getZookeeperKeySet(), keySetToDownload);
for (String key : keySetToDownload) {
try {
Set<NimbusInfo> nimbusInfoSet = BlobStoreUtils.getNimbodesWithLatestSequenceNumberOfBlob(zkClient, key);
if (BlobStoreUtils.downloadMissingBlob(conf, blobStore, key, nimbusInfoSet)) {
BlobStoreUtils.createStateInZookeeper(conf, key, nimbusInfo);
}
} catch (KeyNotFoundException e) {
LOG.debug(""Detected deletion for the key {} while downloading - skipping download"", key);
}
}","public class main {
public synchronized void syncBlobs() {
try {
LOG.debug(""Sync blobs - blobstore keys {}, zookeeper keys {}"",getBlobStoreKeySet(), getZookeeperKeySet());
zkClient = BlobStoreUtils.createZKClient(conf, ZooDefs.Ids.CREATOR_ALL_ACL);
deleteKeySetFromBlobStoreNotOnZookeeper(getBlobStoreKeySet(), getZookeeperKeySet());
updateKeySetForBlobStore(getBlobStoreKeySet());
Set<String> keySetToDownload = getKeySetToDownload(getBlobStoreKeySet(), getZookeeperKeySet());
LOG.debug(""Key set Blobstore-> Zookeeper-> DownloadSet {}-> {}-> {}"", getBlobStoreKeySet(), getZookeeperKeySet(), keySetToDownload);
for (String key : keySetToDownload) {
try {
Set<NimbusInfo> nimbusInfoSet = BlobStoreUtils.getNimbodesWithLatestSequenceNumberOfBlob(zkClient, key);
if (BlobStoreUtils.downloadMissingBlob(conf, blobStore, key, nimbusInfoSet)) {
BlobStoreUtils.createStateInZookeeper(conf, key, nimbusInfo);
}
} catch (KeyNotFoundException e) {
LOG.debug(""Detected deletion for the key {} while downloading - skipping download"", key);
}
}","- zkClient = BlobStoreUtils.createZKClient(conf);+ zkClient = BlobStoreUtils.createZKClient(conf, ZooDefs.Ids.CREATOR_ALL_ACL);",1
14269,fd85803a73ad46f36816bcb55ed1c4f4b4c4312,ProjectKB,"public class main {
public void initializeAttachments() throws IOException {
initializeRootMessage();
attachments = new LazyAttachmentCollection(this);
message.setAttachments(attachments);
}
}","public class main {
public void initializeAttachments() throws IOException {
initializeRootMessage();
Object maxCountProperty = message.getContextualProperty(AttachmentDeserializer.ATTACHMENT_MAX_COUNT);
int maxCount = 50;
if (maxCountProperty != null) {
if (maxCountProperty instanceof Integer) {
maxCount = (Integer)maxCountProperty;
} else {
maxCount = Integer.parseInt((String)maxCountProperty);
}
}
attachments = new LazyAttachmentCollection(this, maxCount);
message.setAttachments(attachments);
}
}","+ Object maxCountProperty = message.getContextualProperty(AttachmentDeserializer.ATTACHMENT_MAX_COUNT);+ int maxCount = 50;+ if (maxCountProperty != null) {+ if (maxCountProperty instanceof Integer) {+ maxCount = (Integer)maxCountProperty;+ } else {+ maxCount = Integer.parseInt((String)maxCountProperty);+ }+ }- attachments = new LazyAttachmentCollection(this);+ attachments = new LazyAttachmentCollection(this, maxCount);",1
4272,69c57c8c5f7336b3ffefcc88fd49b51b8f5f4bf,ProjectKB,"public class main {
public void realWriteBytes(ByteBuffer buf) throws IOException {
if (closed) {
return;
}
if (coyoteResponse == null) {
return;
}
if (buf.remaining() > 0) {
try {
coyoteResponse.doWrite(buf);
} catch (IOException e) {
throw new ClientAbortException(e);
}
}
}
}","public class main {
public void realWriteBytes(ByteBuffer buf) throws IOException {
if (closed) {
return;
}
if (coyoteResponse == null) {
return;
}
if (buf.remaining() > 0) {
try {
coyoteResponse.doWrite(buf);
} catch (CloseNowException e) {
closed = true;
throw e;
} catch (IOException e) {
throw new ClientAbortException(e);
}
}
}
}",+ } catch (CloseNowException e) {+ closed = true;+ throw e;,1
1406,7a8f157f7e2feed2d0ebb63b163ff735b6340b9,ProjectKB,"public class main {
public String determineTargetUrl(HttpServletRequest request, HttpServletResponse response) {
Object redirectAttribute = request.getAttribute(URI_OVERRIDE_ATTRIBUTE);
String redirectFormParam = request.getParameter(FORM_REDIRECT_PARAMETER);
if (redirectAttribute !=null) {
logger.debug(""Returning redirectAttribute saved URI:""+redirectAttribute);
return (String) redirectAttribute;
} else if (redirectFormParam != null) {
return redirectFormParam;
} else {
return super.determineTargetUrl(request, response);
}
}
}","public class main {
public String determineTargetUrl(HttpServletRequest request, HttpServletResponse response) {
Object redirectAttribute = request.getAttribute(URI_OVERRIDE_ATTRIBUTE);
String redirectFormParam = request.getParameter(FORM_REDIRECT_PARAMETER);
if (redirectAttribute !=null) {
logger.debug(""Returning redirectAttribute saved URI:""+redirectAttribute);
return (String) redirectAttribute;
} else if (isApprovedFormRedirectUri(request, redirectFormParam)) {
return redirectFormParam;
} else {
return super.determineTargetUrl(request, response);
}
}
}","- } else if (redirectFormParam != null) {+ } else if (isApprovedFormRedirectUri(request, redirectFormParam)) {",1
